sample_fp	plate	well	cycle	channel
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c9/20200304_161626_510/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	9	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c9/20200304_161626_510/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	9	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c9/20200304_161626_510/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	9	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c10/20200305_173409_099/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	10	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c10/20200305_173409_099/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	10	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c10/20200305_173409_099/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	10	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c10/20200305_173409_099/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	10	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c11/20200306_174408_965/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	11	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c11/20200306_174408_965/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	11	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c11/20200306_174408_965/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	11	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c11/20200306_174408_965/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	11	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c1/20200218_141421_172/WellA3_ChannelDAPI-CY3_30p_545-A594_30p-CY5_30p-CY7_30p_Seq0002.nd2	1	A3	1	DAPI-CY3_30p_545-A594_30p-CY5_30p-CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c2/20200224_101922_191/WellA3_ChannelA594_30p_Seq0008.nd2	1	A3	2	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c2/20200224_101922_191/WellA3_ChannelCY3_30p_545_Seq0002.nd2	1	A3	2	CY3_30p_545
