sample_fp	plate	well	round	channel
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellA2_ChannelA594_1x1_Seq0003.nd2	5	A2	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellA2_ChannelAF750_1x1_Seq0002.nd2	5	A2	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellA2_ChannelDAPI_1x1-GFP_1x1_Seq0013.nd2	5	A2	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellA3_ChannelA594_1x1_Seq0005.nd2	5	A3	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellA3_ChannelAF750_1x1_Seq0004.nd2	5	A3	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellA3_ChannelDAPI_1x1-GFP_1x1_Seq0014.nd2	5	A3	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellB2_ChannelA594_1x1_Seq0009.nd2	5	B2	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellB2_ChannelAF750_1x1_Seq0008.nd2	5	B2	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellB2_ChannelDAPI_1x1-GFP_1x1_Seq0016.nd2	5	B2	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellB3_ChannelA594_1x1_Seq0007.nd2	5	B3	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellB3_ChannelAF750_1x1_Seq0006.nd2	5	B3	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellB3_ChannelDAPI_1x1-GFP_1x1_Seq0015.nd2	5	B3	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellA1_ChannelA594_1x1_Seq0001.nd2	6	A1	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellA1_ChannelAF750_1x1_Seq0000.nd2	6	A1	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellA1_ChannelDAPI_1x1-GFP_1x1_Seq0012.nd2	6	A1	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_2/20200213_100130_580/WellA1_ChannelGFP_1x1_Seq0000.nd2	6	A1	2	GFP_1x1
